98220,50383
98220,51611
98394,51611
98394,52815
97964,52815
97964,54005
97594,54005
97594,55224
97608,55224
97608,56483
97863,56483
97863,57566
96897,57566
96897,58822
97062,58822
97062,59947
96526,59947
96526,61107
96191,61107
96191,62379
96290,62379
96290,63533
95913,63533
95913,64738
95698,64738
95698,65885
95293,65885
95293,67009
94828,67009
94828,68073
94220,68073
94220,69435
94313,69435
94313,70174
93002,70174
93002,71616
93196,71616
93196,72602
92443,72602
92443,73462
91489,73462
91489,74876
91500,74876
91500,75874
90784,75874
90784,76501
89523,76501
89523,77604
88995,77604
88995,78801
88574,78801
88574,79650
87681,79650
87681,80801
87167,80801
87167,81809
86461,81809
86461,82630
85544,82630
85544,83027
84196,83027
84196,84452
83908,84452
83908,84937
82685,84937
82685,85741
81777,85741
81777,86619
80934,86619
80934,87768
80299,87768
80299,88349
79199,88349
79199,88541
77832,88541
77832,89980
77357,89980
77357,90494
76228,90494
76228,90566
74839,90566
74839,91519
73998,91519
73998,92314
73047,92314
73047,92444
71743,92444
71743,93461
70891,93461
70891,93816
69711,93816
69711,93931
68439,93931
68439,94554
67387,94554
67387,95135
66308,95135
66308,95641
65196,95641
65196,95506
63880,95506
63880,96329
62858,96329
62858,96763
61711,96763
61711,96562
60415,96562
60415,97182
59305,97182
59305,97788
58173,97788
58173,97501
56890,97501
56890,98040
55730,98040
55730,98269
54520,98269
54520,97753
53254,97753
53254,98440
52070,98440
52070,97834
50831,97834
50831,97766
49619,97766
49619,98209
48394,98209
48394,98038
47180,98038
47180,97341
46015,97341
46015,97712
44764,97712
44764,97144
43614,97144
43614,97019
42413,97019
42413,96935
41201,96935
41201,96646
40026,96646
40026,96658
38780,96658
38780,96087
37674,96087
37674,96044
36427,96044
36427,95949
35180,95949
35180,95401
34076,95401
34076,95034
32912,95034
32912,94348
31874,94348
31874,94127
30646,94127
30646,93188
29738,93188
29738,92766
28597,92766
28597,92326
27459,92326
27459,91509
26526,91509
26526,90860
25507,90860
25507,90226
24479,90226
24479,89993
23183,89993
23183,89175
22267,89175
22267,88771
21052,88771
21052,88082
20033,88082
20033,86875
19440,86875
19440,86039
18559,86039
18559,85150
17730,85150
17730,84769
16418,84769
16418,83845
15611,83845
15611,82569
15186,82569
15186,81626
14428,81626
14428,81005
13295,81005
13295,79912
12713,79912
12713,78929
12005,78929
12005,78138
11033,78138
11033,77077
10428,77077
10428,76034
9804,76034
9804,75127
8963,75127
8963,74103
8298,74103
8298,72884
7984,72884
7984,72088
6881,72088
6881,70684
6968,70684
6968,69636
6351,69636
6351,68560
5780,68560
5780,67344
5556,67344
5556,66431
4525,66431
4525,65176
4416,65176
4416,64086
3819,64086
3819,62866
3641,62866
3641,61564
3821,61564
3821,60371
3630,60371
3630,59211
3291,59211
3291,58099
2640,58099
2640,56886
2523,56886
2523,55695
2253,55695
2253,54449
2492,54449
2492,53280
1859,53280
1859,52045
2127,52045
2127,50825
2506,50825
2506,50355
94654,50355
